번호,식품이름,원재료명 및 원산지,특정성분,1회제공량(g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),칼슘(mg),알러지성분
1,새우깡,"소맥분(밀;미국산) , 전분(미국산,호주산) , 미강유 , 새우 , 팜유 , 맛베이스조미분말{천일염(신안군)} , 탈지대두(대두) , 유당(우유)","생새우7.9%(국산) , DHA9.0mg",,435,19,2,7,2.3,150,0,2.3,0,40,
2,매운새우깡,"쉬림프크래커{중국산;소맥분(밀),전분,새우,맛베이스조미분말} , 미강유(태국산) , 팜유 , 매운맛시즈닝 , 매콤한풍미유 , 탈지대두(대두) , 유당(우유) , 혼합야채분말(토마토)",생새우7.6%(중국산),,465,19,2,8,2,170,0,2.3,0,30,
3,쌀새우깡,"소맥분(밀;미국산) , 쌀가루21%(국산) , 미강유 , 전분 , 새우 , 팜유 , 다시마조미분말{천일염(신안군)} , 마요네즈와사비맛조미분말{볶음천일염(신안군)} , 새우풍미유 , 탈지대두(대두) , 유당(우유) , 난황(계란)",생새우7.8%(국산),,400,26,4,10,2,210,0,2.9,0,50,
4,오징어집,"소맥분(밀;미국산) , 미강유(태국산) , 전분 , 팜유 , 오징어육(오징어) , 버터구이오징어맛시즈닝 , 오징어페이스트 , 오징어맛조미분말-적 , 오징어맛조미분말-원 , 적무색소 , 자주색고구마색소 , 카카오색소 , 탈지대두(대두) , 유당(우유) , 새우분말(새우)","오징어6.5% , 오징어분말0.8%(페루산) , 버터0.04%(국산) , 타우린181mg함유",,435,25,3,11,2,190,5,3.4,0,,
5,양파집,"소맥분(밀;미국산) , 양파(국산) , 미강유 , 전분 , 팜유 , 매콤한 불고기맛조미분말 , 양파맛조미분말 , 탈지대두(대두) , 혼합야채분말(토마토) , 버터(우유)","양파16%(국산) , 양파가루0.39%(중국산)",,405,26,2,11,2,230,0,3.5,0,,
6,인디안밥,"옥수수펠렛{옥수수(호주산),정제염(국산),효소처리스테비아,구연산} , 미강유 (태국산) , 팜유 , 스위트콘시즈닝 , 유당(우유) , 전란분(계란) , 레시틴(대두)",옥수수70%(호주산),,425,26,3,10,0,260,0,3.4,0,,
7,입친구,"생감자88%(수미, 국산) , 미강유(태국산) , 팜유 , 조미염분말{볶음천일염(신안군)}",생감자88%(국산),,400,19,2,13,1,85,0,3.7,0,,
8,알새우칩,"새우크래커 {인도네시아산;타피오카분말,새우살,소맥분(밀),정백당(계란)} , 미강유 (태국산) , 팜유 , 새우맛시즈닝 , 탈지대두(대두) , 유당(우유)","새우살13%함유(인도네시아산) , 새우0.07%함유(러시아산)",,350,24,1,9,3,260,0,2.7,0,,
9,벌집와플,,,,395,,,,,,,,,,
10,벌집핏자,"소맥분(밀;미국산) , 전분 (미국산,호주산) , 고올레산카놀라유 , 팜유 , 피자시즈닝분말 , 복합비프맛조미분말 , 바베큐시즈닝페이스트 , 합성착향료(토마토향) , 탈지대두(대두) , 치즈분말(우유) , 토마토분말(토마토)",피자맛조미분말1.3%,,445,24,3,13,3,230,0,3.1,0,,
11,수미칩 웨이브,"생감자91%(수미, 국산) , 미강유(태국산) , 팜유 , 스위트머스터드시즈닝(우유, 대두, 밀)","꿀분말0.01% , 겨자분말0.003%",40,445,23,2,12,3,190,0,3.9,0,,
12,수미칩 오리지널,"생감자 94%(수미,국산) , 미강유 (태국산) , 팜유 , 조미염분말 , 볶음천일염(신안군)",,,425,18,2,8,2,120,0,2.6,0,,
13,수미칩 어니언,"생감자 93%(수미,국산) , 미강유 (태국산) , 팜유 , 양파맛분말(우유, 대두)","양파분말 0.05%(중국산 89%, 국산 11%)",,425,20,2,7,3,120,0,2.3,0,,
14,통밀콘,,,60,300,,,,,,,,,,
15,양파링,"소맥분(밀;미국산) , 소맥전분(미국산, 호주산) , 미강유 , 변성전분 , 팜유 , 양파맛베이스분말{정백당,분말셀룰로오스,정제염,화이버졸,양파추출물분말} , 양파쥬스농축액 , 양파베이컨맛시즈닝 , 감자분말 , 비타민B2","양파쥬스농축액4.2%(생양파착즙액기준 36g/봉, 중국산) , 식이섬유6%",40,400,27,2,9,2,260,0,2.7,0,,
16,포스틱,"소맥분(밀;미국산) , 감자(국산) , 소맥전분 , 미강유 , 전분 , 감자맛조미분말(감자분말,정제염,젖산칼슘,디엘-메티오닌,효소처리스테비아) , 팜유 , 양파 , 감자비프맛시즈닝 , 탈지대두(대두) , 유청분말(우유)","감자19%(국산) , 감자분말4%(벨기에산)",40,390,29,2,7,1,220,0,2,0,,
17,포스틱Dip딥,"소맥분(밀;미국산) , 감자(국산) , 소맥전분 , 미강유 , 전분 , 감자맛조미분말(감자분말,정제염,젖산칼슘,디엘-메티오닌,효소처리스테비아) , 팜유 , 양파 , 감자비프맛시즈닝 , 탈지대두(대두) , 유청분말(우유)","감자19%(국산) , 감자분말4%(벨기에산)",,425,70,5,14,4.3,710,0,4.3,0,,
18,감미칩,"고구마88%(중국산) , 미강유(태국산) , 팜유 , 사과시즈닝분말",,30,370,17,1,11,7,50,0,3.9,0,,
19,포테토칩콤보 스노우치즈,"생감자88%(국산) , 미강유(태국산) , 팜유 , 스노우치즈 시즈닝",치즈0.26%(수입산),,355,31,4,24,2,230,5,8,0,,
20,포테토칩 오리지널,"생감자91%(국산0 , 미강유(태국산) , 팜유 , 조미염분말{볶음천일염(신안군)}",,,340,30,3,23,0,180,0,7,0,,"우유 , 대두함유"
21,포테토칩 샤워크림어니언,"생감자90%(국산) , 미강유(태국산) , 팜유 , 양파크림분말","양파분말0.06%(중국산90%,국산10%)",,330,35,3,20,2,260,0,6,0,,"우유 , 대두함유"
22,자갈치,"소맥분(밀;미국산) , 미강유(태국산) , 전분 , 조기연육(조기) , 팜유 , 알파미분 , 찰옥수수전분 , 구수한맛조미분말 , 소고기 매운맛 분말 , 군어육조미분말(문어) , 합성착향료(문어향) , 탈지대두(대두) , 유청분말(우유) , 키토올리고당(게) , 새우분말(새우)","문어0.11%(베트남산) , 키토산24mg",,470,29,3,12,2,220,0,2.6,0,,
23,닭다리 후라이드치킨맛,"소맥분(밀;미국산) , 빵가루{소맥분(미국산,호주산), 대두분, 효모, 정제염(국산),유화제} , 고올레산해바라기유 , 전분 , 증숙감자 , 팜유 , 치킨추출농축액 , 후라이드치킨시즈닝 , 정제염 , 탈지대두(대두)",닭고기 3.4%함유(국산),,330,21,2,2,1,170,0,2.6,0,,
24,닭다리 핫숯불바베큐,"소맥분(밀;미국산) , 빵가루{소맥분(미국산,호주산),대두분,효모,정제염(국산),유화제} , 고올레산해바라기유 , 전분 , 증숙감자 , 팜유 , 치킨추출농축액 , 핫치킨시즈닝 , 감자분말 , 정제염 , 탈지대두(대두) , 유당(우유) , 전란분(계란) , 혼합야채분말(토마토) , 포크시즈닝오일(돼지고기) , 피넛오일(땅콩)",닭고기3.3%함유(국산),,330,21,2,9,1,200,0,2.4,0,,
25,칩포테토 오리지널,"생감자91%(국산,호주산,미국산) , 미강유(태국산) , 팜유 , 조미염분말{볶음천일염(신안군)}",,,340,30,3,23,0,180,0,0.5,0,,
26,칩포테토 사워크림어니언,"생감자 90%(국산, 미국산, 호주산) , 미강유 (태국산) , 팜유 , , 양파크림분말 , 유청분말(우유) , 간장분말(대두)","양파분말0.05%(중국산 88%,국산 12%)",,330,35,2,20,2,260,0,7,0,,
27,침포테토 매콤달콤,"생감자 88%(국산) , 미강유( 태국산) , 팜유 , 핫칠리맛분말 , 소맥분(밀) , 탈지대두(대두) , 돼지고기(돼지고기) , 유당(우유)",생감자88%(국산),,345,32,2,23,2,290,0,8,0.5,,
28,매운 꿀꽈배기,,,,215,33,1,9,1,130,0,2.8,0,,
29,꿀꽈배기,"소맥분(밀;미국산) , 정백당 , 미강유(태국산) , 전분 , 소맥전분 , 팜유 , 고소미조미분말 , 아카시아꿀 , 발표사과농축액 , 감초농축액 , 맥아엿 , 정제염 , 합성착향료(벌꿀향) , 탈지분유(우유)","벌꿀3.3%함유(국산) , 발효사과농축액1.5%(국산)",,430,33,1,9,10,130,0,2.8,0,,
30,땅콩꽈배기,"소맥분(밀;미국산) , 정백당 , 미강유 (태국산) , 전분 , 소맥전분 , 볶음분태땅콩5.9%(땅콩;중국산) , 팜유 , 흑설탕 , 포도당 , 고소미조미분말 , 카라멜페이스트 , 합성착향료(너트향) , 전지분유(우유)
","프락토올리고당1,596mg 함유",,410,29,2,8,10,65,0,2.4,0,,
31,감자깡,"소맥분(밀;미국산) , 증숙감자(국산) , 전분 , 미강유 , 팜유 , 비프맛베이스조미분말 , 바베큐맛조미분말 , 양파 , 탈지대두(대두) , 유청분말(우유) , 포크시즈닝오일(돼지고기) , 피넛오일(땅콩)",증숙감자25%(국산),,365,25,2,7,1,170,0,2.1,0,,
32,쫄병 숯불바케큐맛,"소맥분(밀;미국산) , 팜유(말레이시아산) , 전분 , 바베큐맛조미분말5.5% , 숯불바베큐맛소스(3.3%) , 정백당 , 정제염 , 감자전분 , 효소처리스테비아 , 글리신 , 천연겔(한천,로커스트공검,아라비아검) , 비타민B1염산염 , 유청분말(우유) , 탈지대두(대두) , 토마토분말(토마토) , 돈지(돼지고기)",,,470,27,3,13,2,240,0,6,0,,
33,쫄병 매콤한맛,"소맥분(밀;미국산) , 팜유(말레이시아산) , 전분 , 매콤한조미분말7.3% , 떡볶이페이스트 , 정백당 , 정제염 , 감자전분 , 효소처리스테비아 , 글리신 , 비타민B1염산염 , 천연겔(한천,로커스트공검,아라비아검) , 탈지분유(우유) , 고추장(대두) , 토마토페이스트(토마토)",,,460,27,3,12,4,270,0,6,0,,
34,별따먹자(45g),"쌀가루56%(미국산) , 미강유(태국산) , 전분 , 달콤한맛조미분(미립당,요거트조미분말,간장분말,감칠맛분말,효소처리스테비아) , 팜유 , 정제염 , 정백당 , 탈지대두(대두) , 유당(우유)",,,230,31,2,11,5,240,0,3.6,0,,
35,아이스콘,"콘밀(옥수수;프랑스산 50%,호주산 50%) , 미강유(태국산) , 정백당 , 화이트컴파운드{설탕,식물유지(팜핵경화유),유청분말,탈지분유,레시틴(대두)} , 가당연유{원유{우유),설탕,유당} , 자일리톨시즈닝[자일리톨,멘톨향분말{덱스트린,합성착향료(멘톨향)}] , 팜유 , 결정셀룰로오스 , 정제염 , 합성착향료(바나나향,바나나향)",옥수수46%,,295,41,3,14,13,85,5,5,0,,
36,고구마깡,"소맥분(밀;미국산) , 증숙고구마(국산) , 정백당 , 미강유 , 전분 , 팜유 , 짭짤한맛조미맛분말 , 프락토올리고당 , 흑깨 , 정제염 , 합성착향료(고구마향)","고구마20%(국산) , 프락토올리고당456mg",,405,29,2,8,10,200,0,2.7,0,,
37,바나나킥,"콘밀(옥수수;프랑스산 50%호주산 50% , 정백당 , 미강유 (태국산) , 바나나분말 , 팜유 , 탈지분유(우유) , 정제염 , 합성착향료(바나나향,분말바나나향/컴파운드향) , 난백분(계란) , 강황분말",바나나분말1.6%(에콰도르산),,320,30,2,2,1,45,0,0.7,0,,
38,조청유과,"쌀가루 30%(미국산) , 미강유 (태국산) , 정백당 , 전분 , 팜유 , 정제중백당 , 프락토올리고당 , 스위트조미분말 , 소맥분(밀) , 참깨 , 조청1% , 정제염 , 이스트맛분말 (효모추출물, 말토덱스트린)",,,545,19,8,10,8,75,0,3.3,0,,
